label,basis,fit_points,fitted_logical_error_per_round,fit_slope,fit_intercept
baseline,memory_x,4,0.18388958527267135,-0.45851653217195026,0.6597823508875302
baseline,memory_z,4,0.18173038876735825,-0.45170924078538616,0.6758352368514287
postselect25,memory_x,4,0.1531784214349674,-0.3657976335223491,0.6727522857914527
postselect25,memory_z,4,0.14465276796649673,-0.34151266858864937,0.6205743761675585
postselect50,memory_x,4,0.17761507607720373,-0.4388618509091623,0.7759852742834978
postselect50,memory_z,4,0.16359414110946158,-0.39628975403469935,0.6917838424897611
