rounds,basis,ler,uncertainty,logical_failures,shots,run_dir,notes
1,memory_z,0.049,0.0048269555622566076,98,2000,results\sweep_d3_best_iqm_rounds_sweep\20260607T011549Z\runs\sweep_d3_best_iqm_rounds_1\20260607T011549Z,memory_z: LER 0.049 +/- 0.0048269555622566076
1,memory_x,0.0545,0.005075911248239078,109,2000,results\sweep_d3_best_iqm_rounds_sweep\20260607T011549Z\runs\sweep_d3_best_iqm_rounds_1\20260607T011549Z,memory_z: LER 0.049 +/- 0.0048269555622566076; memory_x: LER 0.0545 +/- 0.005075911248239078
3,memory_z,0.487,0.011176560293757645,974,2000,results\sweep_d3_best_iqm_rounds_sweep\20260607T011549Z\runs\sweep_d3_best_iqm_rounds_3\20260607T011552Z,memory_z: LER 0.487 +/- 0.011176560293757645
3,memory_x,0.4925,0.011179082028503056,985,2000,results\sweep_d3_best_iqm_rounds_sweep\20260607T011549Z\runs\sweep_d3_best_iqm_rounds_3\20260607T011552Z,memory_z: LER 0.487 +/- 0.011176560293757645; memory_x: LER 0.4925 +/- 0.011179082028503056
5,memory_z,0.484,0.011174614087296258,968,2000,results\sweep_d3_best_iqm_rounds_sweep\20260607T011549Z\runs\sweep_d3_best_iqm_rounds_5\20260607T011555Z,memory_z: LER 0.484 +/- 0.011174614087296258
5,memory_x,0.4965,0.011180065965816124,993,2000,results\sweep_d3_best_iqm_rounds_sweep\20260607T011549Z\runs\sweep_d3_best_iqm_rounds_5\20260607T011555Z,memory_z: LER 0.484 +/- 0.011174614087296258; memory_x: LER 0.4965 +/- 0.011180065965816124
7,memory_z,0.472,0.011162795348836239,944,2000,results\sweep_d3_best_iqm_rounds_sweep\20260607T011549Z\runs\sweep_d3_best_iqm_rounds_7\20260607T011558Z,memory_z: LER 0.472 +/- 0.011162795348836239
7,memory_x,0.4825,0.011173489830845151,965,2000,results\sweep_d3_best_iqm_rounds_sweep\20260607T011549Z\runs\sweep_d3_best_iqm_rounds_7\20260607T011558Z,memory_z: LER 0.472 +/- 0.011162795348836239; memory_x: LER 0.4825 +/- 0.011173489830845151
