rounds,basis,total_ler,total_uncertainty,per_round_ler,per_round_uncertainty,shots
1,memory_z,0.00255,0.0003566158647620714,0.00255,0.0003566158647620714,20000
9,memory_z,0.02245,0.0010475208231820502,0.0025456770003266516,0.00012124239740436426,20000
17,memory_z,0.028,0.0011665333257134148,0.0016921042140335407,7.244426307333713e-05,20000
26,memory_z,0.03325,0.001267762546772857,0.00132160251365121,5.209557045180674e-05,20000
34,memory_z,0.0245,0.001093154838071899,0.0007382958003293583,3.3758294514127005e-05,20000
42,memory_z,0.0146,0.00084814031857942,0.00035267086390838864,2.0786540551280292e-05,20000
50,memory_z,0.0163,0.0008953856710937471,0.0003313223629059503,1.8498911484416567e-05,20000
