rounds,basis,ler,uncertainty,logical_failures,shots,run_dir,notes
1,memory_z,0.021,0.0032061659345704488,42,2000,results\sweep_d3_best_sim_rounds_sweep\20260607T011525Z\runs\sweep_d3_best_sim_rounds_1\20260607T011525Z,memory_z: LER 0.021 +/- 0.0032061659345704488; memory_x: LER 0.0265 +/- 0.0035915003828483716
1,memory_x,0.0265,0.0035915003828483716,53,2000,results\sweep_d3_best_sim_rounds_sweep\20260607T011525Z\runs\sweep_d3_best_sim_rounds_1\20260607T011525Z,memory_z: LER 0.021 +/- 0.0032061659345704488; memory_x: LER 0.0265 +/- 0.0035915003828483716
3,memory_z,0.1675,0.008349962574766428,335,2000,results\sweep_d3_best_sim_rounds_sweep\20260607T011525Z\runs\sweep_d3_best_sim_rounds_3\20260607T011528Z,memory_z: LER 0.1675 +/- 0.008349962574766428; memory_x: LER 0.2025 +/- 0.008985926496472138
3,memory_x,0.2025,0.008985926496472138,405,2000,results\sweep_d3_best_sim_rounds_sweep\20260607T011525Z\runs\sweep_d3_best_sim_rounds_3\20260607T011528Z,memory_z: LER 0.1675 +/- 0.008349962574766428; memory_x: LER 0.2025 +/- 0.008985926496472138
5,memory_z,0.367,0.010777546102893738,734,2000,results\sweep_d3_best_sim_rounds_sweep\20260607T011525Z\runs\sweep_d3_best_sim_rounds_5\20260607T011532Z,memory_z: LER 0.367 +/- 0.010777546102893738; memory_x: LER 0.358 +/- 0.010719981343267347
5,memory_x,0.358,0.010719981343267347,716,2000,results\sweep_d3_best_sim_rounds_sweep\20260607T011525Z\runs\sweep_d3_best_sim_rounds_5\20260607T011532Z,memory_z: LER 0.367 +/- 0.010777546102893738; memory_x: LER 0.358 +/- 0.010719981343267347
7,memory_z,0.468,0.011157419056394719,936,2000,results\sweep_d3_best_sim_rounds_sweep\20260607T011525Z\runs\sweep_d3_best_sim_rounds_7\20260607T011536Z,memory_z: LER 0.468 +/- 0.011157419056394719; memory_x: LER 0.4715 +/- 0.01116216264887768
7,memory_x,0.4715,0.01116216264887768,943,2000,results\sweep_d3_best_sim_rounds_sweep\20260607T011525Z\runs\sweep_d3_best_sim_rounds_7\20260607T011536Z,memory_z: LER 0.468 +/- 0.011157419056394719; memory_x: LER 0.4715 +/- 0.01116216264887768
