label,basis,fit_points,fitted_logical_error_per_round,fit_slope,fit_intercept
baseline,memory_x,4,0.18388958527267135,-0.45851653217195026,0.6597823508875302
baseline,memory_z,4,0.18173038876735825,-0.45170924078538616,0.6758352368514287
best_combined,memory_x,4,0.15278867380460487,-0.3646744946375512,0.6754652511349404
best_combined,memory_z,4,0.13379952576929072,-0.3114271711779523,0.5604919059606355
postselect25,memory_x,4,0.1531784214349674,-0.3657976335223491,0.6727522857914527
postselect25,memory_z,4,0.14465276796649673,-0.34151266858864937,0.6205743761675585
